시설명,시설유형,주소,위도,경도,데이터출처
CCTV,CCTV,서울특별시 광진구 자양번영로9길 6-7 (자양동),37.53656,127.07618,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로7길 12-7 (자양동),37.5362,127.07578,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로3다길 11-5,37.53136,127.07352,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로38길 5-16 (자양동),37.53818,127.07537,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로36가길 43 (자양동),37.53117,127.07272,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로36길 49-8 (자양동),37.53204,127.07084,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로8길 28 (자양동),37.53603,127.07073,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로36길 15 (자양동),37.53368,127.0714,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로5길 16 (자양동),37.53273,127.07448,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로3길 16 (자양동),37.53185,127.07445,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로1길 27 (자양동),37.53084,127.07341,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양번영로3나길 40 (자양동),37.53016,127.07337,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로10길 42 (자양동),37.53763,127.06399,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로 491 (자양동),37.53654,127.06519,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로3나길 10,37.53411,127.06569,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로24길 27 (자양동),37.5353,127.0633,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양강변길 73 (자양동),37.53274,127.0637,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로3라길 16 (자양동),37.53477,127.06491,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로3가길 12 (자양동),37.5333,127.06563,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로30길 18,37.53987,127.06744,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로32길 21 (자양동),37.53901,127.06808,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로30길 39 (자양동),37.53895,127.06687,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로18길 44 (자양동),37.53938,127.06526,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로22길 27 (자양동),37.54066,127.06405,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양강변길 19 (자양동),37.53426,127.0611,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로22가길 22 (자양동),37.53551,127.06238,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로4가길 9-2 (자양동),37.53593,127.06282,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로 34-11 (자양동),37.53574,127.06125,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 군자로15길36,37.555,127.07333,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로10길 5 (자양동),37.53891,127.0626,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로9길 23,37.53767,127.06797,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로32길 17 (자양동),37.53471,127.06713,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로5길 7,37.53643,127.06745,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로30길 15 (자양동),37.53522,127.06655,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로3길 61-8 (자양동),37.5341,127.06386,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로12길 20 (자양동),37.53953,127.06335,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로10길 25 (자양동),37.53829,127.06341,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로18가길 13 (자양동),37.53906,127.06454,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로10나길 18 (자양동),37.53828,127.06431,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로18나길 24 (자양동),37.53866,127.06529,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로23가길 11 (자양동),37.53795,127.0654,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로57길 13 (자양동),37.53231,127.08359,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로14길 33 (중곡동),37.56123,127.08096,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로5길 11 (중곡동),37.56493,127.0792,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로1길 11 (중곡동),37.5647,127.0775,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로7길 11 (중곡동),37.56405,127.07937,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로70길 22 (중곡동),37.56455,127.078,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로14길 8 (중곡동),37.56224,127.08146,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로12길 12 (중곡동),37.56225,127.08068,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로43길 38 (중곡동),37.56177,127.0797,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 면목로 93 (중곡동),37.56199,127.07904,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로6길 9 (중곡동),37.56315,127.07822,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로 374 (중곡동),37.56432,127.07628,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로66길 9 (중곡동),37.56167,127.07581,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로43길 47 (중곡동),37.55261,127.09027,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로101길 11 (중곡동),37.55981,127.07477,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로8길 60 (중곡동),37.56104,127.07772,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로8길 90 (중곡동),37.55966,127.077,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로62길 37 (중곡동),37.55937,127.0761,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 면목로 74 (중곡동),37.5602,127.07954,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로14길 63 (중곡동),37.55993,127.08025,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로107길 22 (중곡동),37.55887,127.07889,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로107길 8 (중곡동),37.55841,127.07854,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로47길 35 (중곡동),37.56427,127.0811,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로47길 35 (중곡동),37.56364,127.08074,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로47길 35 (중곡동),37.56338,127.08134,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로50길 8 (중곡동),37.56401,127.08396,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로48가길 36 (중곡동),37.56342,127.08581,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로29길 47 (중곡동),37.56204,127.0864,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 용마산로21길 77 (중곡동),37.56152,127.08475,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 용마산로3길 13 (중곡동),37.55631,127.08728,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로125길 35-17 (중곡동),37.55537,127.08723,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 용마산로1길 22 (중곡동),37.55503,127.08739,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로121길 39 (중곡동),37.55682,127.08643,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로 110 (중곡동),37.55925,127.08691,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로119길 89 (중곡동),37.55903,127.08561,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 용마산로3길 38 (중곡동),37.55615,127.08611,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 용마산로1길 91 (중곡동),37.55647,127.08356,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로27길 26 (중곡동),37.56144,127.08613,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로31길 28 (중곡동),37.5612,127.087,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로109길 53 (중곡동),37.55932,127.08201,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로15길 15 (중곡동),37.56276,127.08329,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로19길 34-4 (중곡동),37.56293,127.085,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 용마산로21길 65 (중곡동),37.56207,127.08508,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로44길 13 (중곡동),37.56085,127.08229,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로16길 9-9 (중곡동),37.56141,127.0832,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 긴고랑로 103,37.56011,127.08674,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로76나길 20 (중곡동),37.56858,127.0801,기존_광진구통합본
