facility_id,시설유형,geometry,grid_id,시설명,주소,위도,경도,inside_gwangjin,inside_or_near_gwangjin
4736,가로등,POINT (963165.7904008199 1949017.2475463396),G0034,가로등,,37.5397435,127.0830565,True,True
4737,가로등,POINT (963168.2888668892 1948982.987335536),G0034,가로등,,37.5394348,127.0830865,True,True
4738,가로등,POINT (963170.042015424 1948947.9981860924),G0034,가로등,,37.5391195,127.0831081,True,True
4739,가로등,POINT (963172.5405245393 1948913.7379804805),G0034,가로등,,37.5388108,127.0831381,True,True
4740,가로등,POINT (963174.289235026 1948877.7392442897),G0034,가로등,,37.5384864,127.0831597,True,True
4741,가로등,POINT (963175.535744162 1948855.9993369605),G0034,가로등,,37.5382905,127.0831749,True,True
4742,가로등,POINT (963176.7874337859 1948813.5013547323),G0034,가로등,,37.5379075,127.0831912,True,True
4743,가로등,POINT (963179.2851343718 1948791.0014697916),G0034,가로등,,37.5377048,127.0832206,True,True
4744,가로등,POINT (963179.7828107065 1948765.7478878035),G0034,가로등,,37.5374772,127.0832275,True,True
4745,가로등,POINT (963182.538938572 1948741.7490855574),G0034,가로등,,37.537261,127.0832599,True,True
4746,가로등,POINT (963229.7901735449 1949259.2486447487),G0035,가로등,,37.5419273,127.0837688,True,True
4747,가로등,POINT (963219.0306967155 1949223.4938886086),G0035,가로등,,37.5416046,127.0836488,True,True
4748,가로등,POINT (963210.7791007783 1949195.4942848366),G0035,가로등,,37.5413519,127.0835568,True,True
4749,가로등,POINT (963200.5308422133 1949163.498371538),G0035,가로등,,37.5410631,127.0834424,True,True
4750,가로등,POINT (963187.3223590718 1949127.3772907115),G0035,가로등,,37.540737,127.0832947,True,True
4751,가로등,POINT (963175.0380207838 1949090.4976995275),G0034,가로등,,37.5404041,127.0831575,True,True
4752,가로등,POINT (963164.029586768 1949052.4919113684),G0034,가로등,,37.5400611,127.0830348,True,True
4753,가로등,POINT (963397.544066506 1949636.0027733212),G0047,가로등,,37.5453298,127.0856489,True,True
4754,가로등,POINT (963615.7890403249 1949870.7494297307),G0047,가로등,,37.5474543,127.0881078,True,True
