grid_id,대표점_위도,대표점_경도,cell_size_m,cell_area_m2,full_cell_area_m2,area_ratio,is_boundary_cell,계산방식,CCTV개수,가로등개수,비상벨개수,경찰서개수,전체시설개수,CCTV보정개수,가로등보정개수,비상벨보정개수,경찰서보정개수,전체시설보정개수,안전점수,안전등급
G0080,37.55638146037551,127.10321264982537,500,187274.66,250000,0.749099,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,11,0,8,0,19,14.68,0.0,10.68,0.0,25.36,20.96,E
G0081,37.559959969111226,127.10149037587836,500,16074.62,250000,0.064298,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,1,0,1,0,2,15.55,0.0,15.55,0.0,31.1,26.44,E
G0082,37.56591597989567,127.10190607091633,500,48743.42,250000,0.194974,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0083,37.56987072370268,127.10236951835081,500,101720.47,250000,0.406882,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,1,0,0,0,1,2.46,0.0,0.0,0.0,2.46,1.72,E
G0084,37.572738259247835,127.1013774621462,500,4797.43,250000,0.01919,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0085,37.54055328269575,127.10714198056394,500,211.53,250000,0.000846,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0086,37.54320492109735,127.10816598485296,500,87469.31,250000,0.349877,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0087,37.54776205510794,127.10926782803043,500,186473.93,250000,0.745896,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,8,38,7,0,53,10.73,50.95,9.38,0.0,71.06,32.18,E
G0088,37.55129953836503,127.1095716852385,500,231637.61,250000,0.92655,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,3,41,3,0,47,3.24,44.25,3.24,0.0,50.73,18.78,E
G0089,37.555603265693854,127.10983474554912,500,226056.85,250000,0.904227,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,13,0,0,13,0.0,14.38,0.0,0.0,14.38,4.31,E
G0090,37.558795034516386,127.11230800228638,500,1660.19,250000,0.006641,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0091,37.55306550174349,127.11301936944339,500,15063.69,250000,0.060255,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
G0092,37.55659727131313,127.11390867719572,500,68958.94,250000,0.275836,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,3,0,0,3,0.0,10.88,0.0,0.0,10.88,3.26,E
G0093,37.55878329816742,127.11281771498007,500,623.38,250000,0.002494,True,격자 polygon 안 실제 시설 개수 + 경계 격자 면적 보정 + 자투리 격자 제거 없음,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,E
